Tiempo (s)	ag (m/2^2)
0	0.047
0.02	-0.08476
0.04	-0.131
0.06	-0.04161
0.08	0.04809
0.1	0.04462
0.12	-0.1487
0.14	-0.21914
0.16	-0.10151
0.18	-0.00725
0.2	-0.06944
0.22	-0.18255
0.24	-0.21327
0.26	-0.17551
0.28	-0.12481
0.3	-0.05223
0.32	0.01235
0.34	0.04082
0.36	0.114
0.38	0.10851
0.4	0.06633
0.42	0.04897
0.44	0.1188
0.46	0.19923
0.48	0.17705
0.5	0.18247
0.52	0.18627
0.54	0.15783
0.56	0.06234
0.58	-0.02706
0.6	-0.07008
0.62	-0.0833
0.64	-0.06984
0.66	-0.01026
0.68	0.02014
0.7	0.01194
0.72	0.01955
0.74	0.04823
0.76	-0.00153
0.78	-0.18356
0.8	-0.33215
0.82	-0.31399
0.84	-0.0723
0.86	0.11229
0.88	-0.01085
0.9	-0.20654
0.92	-0.26535
0.94	-0.09899
0.96	0.11356
0.98	0.20593
1	0.19088
1.02	0.1621
1.04	0.21362
1.06	0.21746
1.08	0.18146
1.1	0.0986
1.12	0.05808
1.14	0.13958
1.16	0.20265
1.18	0.08508
1.2	-0.10203
1.22	-0.2816
1.24	-0.26996
1.26	-0.06901
1.28	0.05842
1.3	0.13412
1.32	0.14349
1.34	0.1614
1.36	0.17333
1.38	0.09445
1.4	-0.12379
1.42	-0.29268
1.44	-0.25463
1.46	-0.09291
1.48	-0.01895
1.5	-0.06103
1.52	-0.12695
1.54	-0.17413
1.56	-0.27028
1.58	-0.31038
1.6	-0.17314
1.62	0.05121
1.64	0.27179
1.66	0.29058
1.68	0.1299
1.7	0.05776
1.72	0.10135
1.74	0.18208
1.76	0.15152
1.78	-0.0168
1.8	-0.04218
1.82	0.1891
1.84	0.30918
1.86	0.16743
1.88	-0.03886
1.9	-0.13435
1.92	-0.00322
1.94	0.23593
1.96	0.32345
1.98	0.06975
2	-0.18108
2.02	-0.19792
2.04	-0.11672
2.06	-0.06515
2.08	-0.11381
2.1	-0.226
2.12	-0.26938
2.14	-0.21018
2.16	-0.08928
2.18	-0.12836
2.2	-0.3019
2.22	-0.37373
2.24	-0.03464
2.26	0.31183
2.28	0.10446
2.3	-0.07664
2.32	-0.03326
2.34	0.00691
2.36	-0.0323
2.38	0.20387
2.4	0.53023
2.42	0.4506
2.44	0.29102
2.46	0.31758
2.48	0.29613
2.5	0.12329
2.52	0.06272
2.54	0.19264
2.56	0.18024
2.58	-0.12083
2.6	-0.22933
2.62	0.14219
2.64	0.35975
2.66	0.23634
2.68	0.03444
2.7	-0.40389
2.72	-0.65205
2.74	-0.68688
2.76	-0.41074
2.78	-0.04908
2.8	-0.08361
2.82	-0.24178
2.84	0.21193
2.86	0.92777
2.88	1.22393
2.9	1.03615
2.92	0.62623
2.94	0.38546
2.96	0.44461
2.98	0.62996
3	0.34283
3.02	-0.136
3.04	-0.39504
3.06	-0.39485
3.08	-0.61472
3.1	-0.86848
3.12	-0.90613
3.14	-0.74021
3.16	-0.43831
3.18	-0.00533
3.2	0.46697
3.22	0.55813
3.24	0.36324
3.26	0.36726
3.28	0.4035
3.3	0.14017
3.32	-0.26566
3.34	-0.49125
3.36	-0.40401
3.38	-0.22239
3.4	-0.13804
3.42	-0.21623
3.44	-0.35273
3.46	-0.55244
3.48	-0.50907
3.5	-0.06944
3.52	0.37986
3.54	0.85219
3.56	0.65734
3.58	-0.06793
3.6	-0.36583
3.62	-0.11017
3.64	0.3594
3.66	0.09488
3.68	-0.37236
3.7	-0.29391
3.72	0.08026
3.74	0.1234
3.76	-0.0851
3.78	-0.10811
3.8	-0.24924
3.82	-0.38724
3.84	-0.27651
3.86	0.35146
3.88	0.76228
3.9	0.37553
3.92	-0.02184
3.94	-0.06253
3.96	0.24766
3.98	0.43483
4	0.3046
4.02	0.0224
4.04	-0.06444
4.06	0.21583
4.08	0.37557
4.1	0.37193
4.12	0.51434
4.14	0.53989
4.16	0.43131
4.18	0.43447
4.2	0.5453
4.22	0.58887
4.24	0.53061
4.26	0.37364
4.28	0.05994
4.3	-0.16454
4.32	-0.21592
4.34	-0.32485
4.36	-0.64963
4.38	-0.741
4.4	-0.50387
4.42	-0.19677
4.44	-0.02719
4.46	-0.36121
4.48	-0.90971
4.5	-1.20109
4.52	-1.20128
4.54	-0.99258
4.56	-0.43079
4.58	0.05054
4.6	-0.0175
4.62	-0.06726
4.64	0.10861
4.66	0.39302
4.68	0.70618
4.7	0.8123
4.72	0.74144
4.74	0.70058
4.76	0.74845
4.78	0.79358
4.8	0.7284
4.82	0.52006
4.84	0.12447
4.86	-0.34857
4.88	-0.59966
4.9	-0.61487
4.92	-0.53435
4.94	-0.53656
4.96	-0.55364
4.98	-0.45681
5	-0.30794
5.02	-0.31577
5.04	-0.42421
5.06	-0.53859
5.08	-0.68648
5.1	-0.68559
5.12	-0.72776
5.14	-0.81231
5.16	-0.73512
5.18	-0.6965
5.2	-0.72752
5.22	-0.63668
5.24	-0.35609
5.26	0.08691
5.28	0.53437
5.3	1.04233
5.32	1.32037
5.34	1.2986
5.36	0.8707
5.38	0.20316
5.4	-0.12427
5.42	-0.12197
5.44	0.0744
5.46	0.39181
5.48	0.56605
5.5	0.53906
5.52	0.48329
5.54	0.42426
5.56	0.32659
5.58	0.09434
5.6	-0.1983
5.62	-0.49153
5.64	-0.65437
5.66	-0.72084
5.68	-0.8029
5.7	-0.42877
5.72	0.08665
5.74	0.31805
5.76	0.05394
5.78	-0.65365
5.8	-1.25367
5.82	-1.56515
5.84	-1.56553
5.86	-1.4321
5.88	-1.18999
5.9	-0.95478
5.92	-0.44416
5.94	0.35473
5.96	1.16943
5.98	1.64492
6	1.76515
6.02	1.76848
6.04	1.72334
6.06	1.59585
6.08	1.18472
6.1	0.81448
6.12	0.38869
6.14	-0.16162
6.16	-0.36091
6.18	-0.12944
6.2	0.12543
6.22	0.1873
6.24	0.29228
6.26	0.54918
6.28	0.62918
6.3	0.23242
6.32	-0.28808
6.34	-0.49601
6.36	-0.55909
6.38	-0.59039
6.4	-0.62649
6.42	-0.52668
6.44	-0.23255
6.46	-0.2984
6.48	-0.57546
6.5	-0.83997
6.52	-1.0583
6.54	-1.25705
6.56	-1.33481
6.58	-1.01394
6.6	-0.2594
6.62	0.79057
6.64	1.48111
6.66	1.93574
6.68	1.98434
6.7	1.47262
6.72	1.03466
6.74	0.89245
6.76	0.73036
6.78	0.51316
6.8	0.54214
6.82	0.63863
6.84	0.63095
6.86	0.4011
6.88	0.26145
6.9	0.21369
6.92	0.13651
6.94	0.03235
6.96	-0.07528
6.98	-0.19517
7	-0.40292
7.02	-0.63014
7.04	-0.95879
7.06	-1.28214
7.08	-1.66507
7.1	-1.96779
7.12	-1.89671
7.14	-1.42457
7.16	-0.61464
7.18	0.20737
7.2	0.7073
7.22	0.64429
7.24	0.33071
7.26	-0.18309
7.28	-0.65715
7.3	-0.84772
7.32	-0.77608
7.34	-0.44832
7.36	-0.23551
7.38	-0.14382
7.4	0.11255
7.42	0.54337
7.44	1.08098
7.46	1.65363
7.48	1.91523
7.5	1.74039
7.52	1.07268
7.54	0.31833
7.56	-0.1548
7.58	-0.40193
7.6	-0.48673
7.62	-0.55407
7.64	-0.7021
7.66	-0.67086
7.68	-0.34462
7.7	-0.13429
7.72	-0.09389
7.74	-0.15515
7.76	-0.38703
7.78	-0.61955
7.8	-0.86935
7.82	-0.95623
7.84	-0.81231
7.86	-0.71402
7.88	-0.63622
7.9	-0.41395
7.92	-0.1752
7.94	-0.06798
7.96	-0.21492
7.98	-0.619
8	-0.78396
8.02	-0.64443
8.04	-0.51575
8.06	-0.2575
8.08	0.11015
8.1	0.44315
8.12	0.86555
8.14	1.3385
8.16	1.59905
8.18	1.6923
8.2	1.53104
8.22	1.29347
8.24	1.21815
8.26	1.21435
8.28	1.14087
8.3	0.91158
8.32	0.56865
8.34	0.3599
8.36	0.44519
8.38	0.61603
8.4	0.64455
8.42	0.2965
8.44	-0.03348
8.46	-0.12616
8.48	0.12723
8.5	0.49529
8.52	0.5145
8.54	0.13045
8.56	-0.31271
8.58	-0.65987
8.6	-0.94976
8.62	-1.20996
8.64	-1.5595
8.66	-1.87686
8.68	-2.08778
8.7	-2.09948
8.72	-2.03192
8.74	-1.65345
8.76	-0.96739
8.78	-0.23773
8.8	0.56594
8.82	1.19252
8.84	1.37213
8.86	1.05902
8.88	0.47828
8.9	-0.094
8.92	-0.6007
8.94	-0.95858
8.96	-1.09277
8.98	-1.06332
9	-0.90198
9.02	-0.64227
9.04	-0.365
9.06	-0.09797
9.08	-0.00556
9.1	-0.06593
9.12	-0.19242
9.14	-0.13078
9.16	0.07152
9.18	0.22006
9.2	0.12871
9.22	-0.2638
9.24	-0.60877
9.26	-0.84554
9.28	-0.89086
9.3	-0.84965
9.32	-0.90861
9.34	-1.04691
9.36	-1.03179
9.38	-0.73447
9.4	-0.41909
9.42	-0.29601
9.44	-0.25639
9.46	-0.23478
9.48	-0.20273
9.5	-0.03929
9.52	0.17479
9.54	0.25689
9.56	0.31128
9.58	0.54988
9.6	0.87215
9.62	1.19835
9.64	1.44551
9.66	1.60632
9.68	1.78169
9.7	2.00973
9.72	2.30606
9.74	2.58519
9.76	2.76805
9.78	2.78377
9.8	2.27547
9.82	1.5747
9.84	1.13639
9.86	0.88909
9.88	0.75858
9.9	0.53444
9.92	0.30235
9.94	0.07741
9.96	-0.11758
9.98	-0.25659
10	-0.3323
10.02	-0.39556
10.04	-0.55579
10.06	-0.78231
10.08	-0.93615
10.1	-0.96549
10.12	-0.84936
10.14	-0.67525
10.16	-0.58604
10.18	-0.5691
10.2	-0.65949
10.22	-0.74448
10.24	-0.74426
10.26	-0.55442
10.28	-0.28538
10.3	-0.15529
10.32	-0.26462
10.34	-0.5176
10.36	-0.60956
10.38	-0.4401
10.4	-0.12507
10.42	0.03759
10.44	0.04669
10.46	0.02208
10.48	0.03375
10.5	0.06846
10.52	0.11354
10.54	-0.00043
10.56	-0.15895
10.58	-0.14998
10.6	0.01345
10.62	0.23206
10.64	0.25765
10.66	0.09129
10.68	-0.15777
10.7	-0.26972
10.72	-0.09375
10.74	0.25644
10.76	0.45366
10.78	0.47656
10.8	0.40149
10.82	0.23898
10.84	0.1195
10.86	0.1011
10.88	0.10579
10.9	0.07365
10.92	0.06695
10.94	0.042
10.96	-0.06594
10.98	-0.25415
11	-0.48447
11.02	-0.81132
11.04	-1.14473
11.06	-1.28126
11.08	-1.28486
11.1	-1.04903
11.12	-0.63528
11.14	-0.22128
11.16	0.12197
11.18	0.35211
11.2	0.35335
11.22	0.19159
11.24	0.06394
11.26	-0.08923
11.28	-0.05947
11.3	0.00031
11.32	0.0461
11.34	0.21453
11.36	0.34443
11.38	0.3616
11.4	0.40288
11.42	0.46699
11.44	0.4897
11.46	0.64434
11.48	0.9388
11.5	1.29349
11.52	1.52588
11.54	1.58739
11.56	1.5002
11.58	1.29102
11.6	0.99734
11.62	0.68903
11.64	0.52437
11.66	0.44028
11.68	0.32743
11.7	0.07514
11.72	-0.21552
11.74	-0.43336
11.76	-0.58419
11.78	-0.6912
11.8	-0.77278
11.82	-0.65864
11.84	-0.36956
11.86	-0.06235
11.88	0.12913
11.9	0.26677
11.92	0.26316
11.94	-0.07403
11.96	-0.4839
11.98	-0.80923
12	-0.99829
12.02	-1.11146
12.04	-1.1385
12.06	-1.08397
12.08	-1.0283
12.1	-0.94999
12.12	-0.87437
12.14	-0.78469
12.16	-0.72333
12.18	-0.63997
12.2	-0.44012
12.22	-0.2259
12.24	-0.0821
12.26	0.12004
12.28	0.28159
12.3	0.30708
12.32	0.19214
12.34	0.01449
12.36	-0.08966
12.38	-0.15782
12.4	-0.16956
12.42	-0.17451
12.44	-0.24635
12.46	-0.38329
12.48	-0.58396
12.5	-0.75486
12.52	-0.74777
12.54	-0.58686
12.56	-0.32337
12.58	-0.015
12.6	0.32399
12.62	0.54397
12.64	0.5991
12.66	0.57343
12.68	0.41541
12.7	0.26293
12.72	0.18741
12.74	0.24959
12.76	0.44291
12.78	0.60376
12.8	0.6665
12.82	0.70706
12.84	0.76661
12.86	0.82497
12.88	0.74043
12.9	0.63096
12.92	0.62541
12.94	0.74038
12.96	0.95404
12.98	1.09579
13	1.18476
13.02	1.11148
13.04	0.74384
13.06	0.31389
13.08	0.05324
13.1	-0.10733
13.12	-0.21189
13.14	-0.21836
13.16	-0.16633
13.18	-0.12147
13.2	-0.13159
13.22	-0.23059
13.24	-0.38851
13.26	-0.5453
13.28	-0.58233
13.3	-0.51922
13.32	-0.39549
13.34	-0.18202
13.36	-0.00712
13.38	0.01817
13.4	-0.12247
13.42	-0.2702
13.44	-0.25725
13.46	-0.04035
13.48	0.28002
13.5	0.53484
13.52	0.56432
13.54	0.40008
13.56	0.21118
13.58	0.13496
13.6	0.08781
13.62	-0.133
13.64	-0.348
13.66	-0.41636
13.68	-0.26199
13.7	0.00188
13.72	0.19572
13.74	0.04863
13.76	-0.35981
13.78	-0.7042
13.8	-0.90294
13.82	-0.95047
13.84	-0.74692
13.86	-0.41139
13.88	-0.22757
13.9	-0.12734
13.92	-0.06642
13.94	-0.11999
13.96	-0.38928
13.98	-0.59425
14	-0.56696
14.02	-0.39155
14.04	-0.09696
14.06	0.20474
14.08	0.36113
14.1	0.4551
14.12	0.50053
14.14	0.47742
14.16	0.25421
14.18	-0.08156
14.2	-0.25836
14.22	-0.19031
14.24	0.02459
14.26	0.10537
14.28	0.06809
14.3	0.00985
14.32	0.05638
14.34	0.19051
14.36	0.29242
14.38	0.32281
14.4	0.28148
14.42	0.21254
14.44	0.14367
14.46	0.15547
14.48	0.21722
14.5	0.10752
14.52	-0.19478
14.54	-0.4891
14.56	-0.66907
14.58	-0.77464
14.6	-0.85046
14.62	-0.83229
14.64	-0.75998
14.66	-0.63632
14.68	-0.41853
14.7	-0.15524
14.72	0.07201
14.74	0.17925
14.76	0.21608
14.78	0.17593
14.8	0.1055
14.82	-0.04295
14.84	-0.18184
14.86	-0.16664
14.88	-0.05578
14.9	0.03792
14.92	0.00338
14.94	-0.11916
14.96	-0.20718
14.98	-0.12043
15	0.24144
15.02	0.57755
15.04	0.69899
15.06	0.68118
15.08	0.55159
15.1	0.4626
15.12	0.31005
15.14	-0.0342
15.16	-0.46167
15.18	-0.77893
15.2	-0.90871
15.22	-0.79659
15.24	-0.53588
15.26	-0.3001
15.28	-0.13656
15.3	-0.07309
15.32	-0.10502
15.34	-0.11166
15.36	-0.04962
15.38	0.07293
15.4	0.19387
15.42	0.32009
15.44	0.38424
15.46	0.27534
15.48	0.02972
15.5	-0.28607
15.52	-0.5276
15.54	-0.49757
15.56	-0.11173
15.58	0.307
15.6	0.67563
15.62	0.9586
15.64	1.05158
15.66	0.92906
15.68	0.61187
15.7	0.27775
15.72	0.00655
15.74	-0.13558
15.76	-0.23265
15.78	-0.29399
15.8	-0.25198
15.82	-0.16545
15.84	-0.08496
15.86	-0.09252
15.88	-0.17016
15.9	-0.1619
15.92	0.10585
15.94	0.39968
15.96	0.48088
15.98	0.335
16	0.17328
16.02	0.16483
16.04	0.25223
16.06	0.3769
16.08	0.41613
16.1	0.36643
16.12	0.19125
16.14	0.04943
16.16	0.05192
16.18	0.05688
16.2	-0.0224
16.22	-0.15559
16.24	-0.13976
16.26	0.012
16.28	0.07741
16.3	0.05455
16.32	0.08309
16.34	0.1932
16.36	0.31282
16.38	0.36707
16.4	0.36878
16.42	0.34466
16.44	0.29735
16.46	0.20847
16.48	0.14421
16.5	0.11595
16.52	0.01887
16.54	-0.11841
16.56	-0.23924
16.58	-0.23795
16.6	-0.06431
16.62	0.24456
16.64	0.41641
16.66	0.40228
16.68	0.09752
16.7	-0.25518
16.72	-0.43623
16.74	-0.40834
16.76	-0.19656
16.78	-0.03408
16.8	0.13347
16.82	0.19204
16.84	0.19389
16.86	0.08736
16.88	-0.11563
16.9	-0.47622
16.92	-0.74417
16.94	-0.77261
16.96	-0.51927
16.98	-0.04242
17	0.25835
17.02	0.29434
17.04	0.10189
17.06	0.00248
17.08	0.03175
17.1	0.10617
17.12	0.09802
17.14	-0.03797
17.16	-0.12005
17.18	-0.019
17.2	0.12391
17.22	0.13732
17.24	0.04618
17.26	-0.12332
17.28	-0.25611
17.3	-0.26622
17.32	-0.17806
17.34	-0.08573
17.36	-0.16924
17.38	-0.31875
17.4	-0.35873
17.42	-0.35154
17.44	-0.2185
17.46	-0.00629
17.48	0.14555
17.5	0.19604
17.52	0.09385
17.54	-0.13269
17.56	-0.37041
17.58	-0.5409
17.6	-0.58746
17.62	-0.53459
17.64	-0.33244
17.66	-0.0432
17.68	0.29421
17.7	0.55047
17.72	0.64303
17.74	0.587
17.76	0.28992
17.78	-0.0605
17.8	-0.26774
17.82	-0.31287
17.84	-0.33827
17.86	-0.4046
17.88	-0.45843
17.9	-0.36534
17.92	-0.06246
17.94	0.24324
17.96	0.40005
17.98	0.37538
18	0.28908
18.02	0.31391
18.04	0.53055
18.06	0.7808
18.08	0.82664
18.1	0.55953
18.12	0.09575
18.14	-0.38609
18.16	-0.75167
18.18	-0.91436
18.2	-0.82613
18.22	-0.53369
18.24	-0.31913
18.26	-0.17638
18.28	-0.00693
18.3	0.07046
18.32	0.07125
18.34	0.02638
18.36	-0.01113
18.38	-0.21841
18.4	-0.46989
18.42	-0.50688
18.44	-0.479
18.46	-0.50614
18.48	-0.61895
18.5	-0.68582
18.52	-0.68043
18.54	-0.51706
18.56	-0.19389
18.58	0.10366
18.6	0.27018
18.62	0.34292
18.64	0.35661
18.66	0.38465
18.68	0.44324
18.7	0.49368
18.72	0.45905
18.74	0.38711
18.76	0.36793
18.78	0.40079
18.8	0.42157
18.82	0.3441
18.84	0.16697
18.86	-0.04602
18.88	-0.18523
18.9	-0.17866
18.92	0.08799
18.94	0.49296
18.96	0.85701
18.98	1.04949
19	1.10863
19.02	1.1802
19.04	1.14915
19.06	1.00344
19.08	0.85913
19.1	0.48543
19.12	-0.03143
19.14	-0.28909
19.16	-0.14782
19.18	0.12956
19.2	0.23833
19.22	0.20939
19.24	0.15244
19.26	0.17214
19.28	0.23548
19.3	0.31346
19.32	0.35276
19.34	0.33424
19.36	0.39579
19.38	0.54062
19.4	0.65049
19.42	0.57292
19.44	0.15254
19.46	-0.31382
19.48	-0.63492
19.5	-0.87963
19.52	-0.99279
19.54	-1.00696
19.56	-0.98521
19.58	-0.95838
19.6	-0.88451
19.62	-0.83171
19.64	-0.82319
19.66	-0.78691
19.68	-0.79421
19.7	-0.81194
19.72	-0.90577
19.74	-1.01207
19.76	-1.02911
19.78	-0.7885
19.8	-0.32225
19.82	0.10621
19.84	0.41369
19.86	0.535
19.88	0.51563
19.9	0.36908
19.92	0.30753
19.94	0.30103
19.96	0.26341
19.98	0.23655
20	0.27579
20.02	0.37201
20.04	0.46822
20.06	0.46732
20.08	0.264
20.1	0.00579
20.12	-0.14635
20.14	-0.1523
20.16	0.08035
20.18	0.37217
20.2	0.42577
20.22	0.34644
20.24	0.30261
20.26	0.36934
20.28	0.45105
20.3	0.44426
20.32	0.2919
20.34	0.04395
20.36	-0.16691
20.38	-0.26108
20.4	-0.28986
20.42	-0.36394
20.44	-0.52014
20.46	-0.60864
20.48	-0.58039
20.5	-0.38641
20.52	-0.06346
20.54	0.12066
20.56	0.20555
20.58	0.33911
20.6	0.55189
20.62	0.674
20.64	0.47804
20.66	0.07637
20.68	-0.28173
20.7	-0.47341
20.72	-0.40423
20.74	-0.2022
20.76	-0.09982
20.78	-0.16953
20.8	-0.27055
20.82	-0.29603
20.84	-0.2593
20.86	-0.2672
20.88	-0.35405
20.9	-0.37271
20.92	-0.30996
20.94	-0.18224
20.96	0.00251
20.98	0.09737
21	0.15176
21.02	0.20001
21.04	0.21926
21.06	0.239
21.08	0.19928
21.1	0.08892
21.12	-0.07485
21.14	-0.11511
21.16	0.05085
21.18	0.15316
21.2	0.01909
21.22	-0.25303
21.24	-0.37501
21.26	-0.26308
21.28	-0.06224
21.3	0.04642
21.32	-0.09643
21.34	-0.32242
21.36	-0.41643
21.38	-0.26772
21.4	0.02606
21.42	0.22073
21.44	0.1661
21.46	-0.15805
21.48	-0.38453
21.5	-0.38902
21.52	-0.16117
21.54	0.19676
21.56	0.38587
21.58	0.41264
21.6	0.30372
21.62	0.08744
21.64	-0.06708
21.66	-0.04495
21.68	0.03176
21.7	0.04802
21.72	0.00747
21.74	0.0022
21.76	0.24914
21.78	0.59223
21.8	0.77307
21.82	0.80698
21.84	0.76067
21.86	0.51771
21.88	0.21546
21.9	0.09861
21.92	0.2032
21.94	0.46128
21.96	0.68649
21.98	0.80558
22	0.79538
22.02	0.59668
22.04	0.13983
22.06	-0.33205
22.08	-0.54176
22.1	-0.569
22.12	-0.42656
22.14	-0.22555
22.16	-0.12071
22.18	-0.14089
22.2	-0.25388
22.22	-0.30608
22.24	-0.20552
22.26	0.0692
22.28	0.26934
22.3	0.33719
22.32	0.33515
22.34	0.37117
22.36	0.55767
22.38	0.7346
22.4	0.73173
22.42	0.52259
22.44	0.25303
22.46	-0.06868
22.48	-0.32694
22.5	-0.36363
22.52	-0.26037
22.54	-0.13817
22.56	-0.03909
22.58	0.00344
22.6	-0.07506
22.62	-0.29641
22.64	-0.48203
22.66	-0.5489
22.68	-0.58767
22.7	-0.64784
22.72	-0.72954
22.74	-0.78093
22.76	-0.85924
22.78	-0.93811
22.8	-0.95701
22.82	-0.86316
22.84	-0.6465
22.86	-0.5264
22.88	-0.48527
22.9	-0.50555
22.92	-0.54752
22.94	-0.57945
22.96	-0.63383
22.98	-0.61261
23	-0.36412
23.02	-0.02839
23.04	0.13325
23.06	0.22264
23.08	0.36191
23.1	0.5875
23.12	0.85247
23.14	1.24739
23.16	1.48234
23.18	1.4531
23.2	1.09634
23.22	0.61508
23.24	0.33967
23.26	0.28548
23.28	0.28257
23.3	0.18577
23.32	0.1078
23.34	0.23161
23.36	0.5476
23.38	0.7145
23.4	0.85685
23.42	0.95907
23.44	0.90289
23.46	0.68926
23.48	0.44109
23.5	0.23457
23.52	0.11017
23.54	0.11062
23.56	0.22745
23.58	0.33013
23.6	0.44102
23.62	0.34115
23.64	-0.00056
23.66	-0.28914
23.68	-0.51802
23.7	-0.70778
23.72	-0.96437
23.74	-1.09392
23.76	-1.00338
23.78	-0.50992
23.8	0.06464
23.82	0.37156
23.84	0.37002
23.86	-0.00129
23.88	-0.37271
23.9	-0.49352
23.92	-0.42278
23.94	-0.30607
23.96	-0.24787
23.98	-0.30757
24	-0.41151
24.02	-0.61375
24.04	-0.87042
24.06	-1.10879
24.08	-1.2215
24.1	-1.18827
24.12	-1.02524
24.14	-0.88974
24.16	-0.78153
24.18	-0.66699
24.2	-0.54695
24.22	-0.30537
24.24	-0.09378
24.26	-0.0238
24.28	-0.06382
24.3	-0.09672
24.32	-0.08661
24.34	0.08438
24.36	0.39511
24.38	0.72967
24.4	0.9674
24.42	0.96727
24.44	0.5562
24.46	0.13796
24.48	-0.02511
24.5	0.02171
24.52	0.21797
24.54	0.31617
24.56	0.41065
24.58	0.42896
24.6	0.48008
24.62	0.67481
24.64	0.8823
24.66	1.03227
24.68	1.05771
24.7	0.99838
24.72	0.90078
24.74	0.80329
24.76	0.77866
24.78	0.64948
24.8	0.19172
24.82	-0.28219
24.84	-0.56149
24.86	-0.53693
24.88	-0.25382
24.9	0.05694
24.92	0.24202
24.94	0.26112
24.96	0.16251
24.98	0.00397
25	-0.07845
25.02	-0.17522
25.04	-0.25357
25.06	-0.33826
25.08	-0.40434
25.1	-0.27579
25.12	-0.17329
25.14	-0.2618
25.16	-0.5156
25.18	-0.83598
25.2	-1.15696
25.22	-1.47805
25.24	-1.67837
25.26	-1.74365
25.28	-1.59698
25.3	-1.11015
25.32	-0.53826
25.34	0.00114
25.36	0.49433
25.38	0.75087
25.4	0.62415
25.42	0.06022
25.44	-0.51736
25.46	-0.91884
25.48	-1.11605
25.5	-1.16695
25.52	-1.06363
25.54	-0.92804
25.56	-0.91426
25.58	-0.8484
25.6	-0.56741
25.62	-0.12729
25.64	0.2097
25.66	0.38511
25.68	0.42505
25.7	0.41925
25.72	0.28784
25.74	0.18688
25.76	0.19596
25.78	0.22963
25.8	0.30331
25.82	0.5347
25.84	0.7843
25.86	0.90428
25.88	0.86859
25.9	0.80641
25.92	0.79541
25.94	0.75819
25.96	0.98121
25.98	1.10935
26	1.14037
26.02	1.23617
26.04	1.29252
26.06	1.22111
26.08	0.92235
26.1	0.54313
26.12	0.23293
26.14	-0.01997
26.16	-0.2868
26.18	-0.52892
26.2	-0.79443
26.22	-1.14635
26.24	-1.45538
26.26	-1.57103
26.28	-1.4743
26.3	-1.02407
26.32	-0.46575
26.34	-0.19105
26.36	-0.22532
26.38	-0.57825
26.4	-1.08363
26.42	-1.5213
26.44	-1.88535
26.46	-2.18601
26.48	-2.41693
26.5	-2.50194
26.52	-2.10274
26.54	-1.327
26.56	-0.39538
26.58	0.52813
26.6	1.21276
26.62	1.66523
26.64	1.84395
26.66	1.75926
26.68	1.53973
26.7	1.29745
26.72	1.08816
26.74	1.02275
26.76	1.14184
26.78	1.41633
26.8	1.68459
26.82	1.86191
26.84	1.90693
26.86	1.8292
26.88	1.67265
26.9	1.57479
26.92	1.41858
26.94	1.1655
26.96	0.93327
26.98	0.68353
27	0.51317
27.02	0.44054
27.04	0.39552
27.06	0.37652
27.08	0.31144
27.1	0.188
27.12	0.01073
27.14	-0.11519
27.16	-0.19285
27.18	-0.30711
27.2	-0.37004
27.22	-0.36177
27.24	-0.28129
27.26	-0.24562
27.28	-0.17648
27.3	-0.1465
27.32	-0.23276
27.34	-0.36394
27.36	-0.3565
27.38	-0.08288
27.4	0.22709
27.42	0.36594
27.44	0.38205
27.46	0.40778
27.48	0.38752
27.5	0.29702
27.52	0.22465
27.54	0.2124
27.56	0.22586
27.58	0.16785
27.6	0.07431
27.62	0.06314
27.64	0.10372
27.66	0.1031
27.68	-0.03556
27.7	-0.29455
27.72	-0.51487
27.74	-0.70625
27.76	-0.88362
27.78	-1.0515
27.8	-1.26289
27.82	-1.43301
27.84	-1.48893
27.86	-1.47914
27.88	-1.43482
27.9	-1.40747
27.92	-1.2322
27.94	-0.85671
27.96	-0.42125
27.98	-0.08569
28	0.06095
28.02	-0.00571
28.04	-0.25628
28.06	-0.36728
28.08	-0.4058
28.1	-0.2357
28.12	0.18346
28.14	0.69057
28.16	1.14984
28.18	1.57314
28.2	1.94036
28.22	2.09918
28.24	2.06911
28.26	1.83274
28.28	1.48747
28.3	1.19132
28.32	0.98795
28.34	0.83965
28.36	0.65148
28.38	0.3877
28.4	0.04884
28.42	-0.32392
28.44	-0.68047
28.46	-0.99708
28.48	-1.18761
28.5	-1.26856
28.52	-1.29196
28.54	-1.41017
28.56	-1.55921
28.58	-1.61982
28.6	-1.65506
28.62	-1.6997
28.64	-1.71883
28.66	-1.68205
28.68	-1.5312
28.7	-1.22858
28.72	-0.93756
28.74	-0.6486
28.76	-0.32946
28.78	0.01422
28.8	0.31844
28.82	0.59653
28.84	0.76674
28.86	0.77566
28.88	0.78563
28.9	0.85002
28.92	0.98042
28.94	1.08226
28.96	1.09924
28.98	1.03987
29	0.85051
29.02	0.63415
29.04	0.48524
29.06	0.402
29.08	0.26414
29.1	0.0918
29.12	-0.06173
29.14	-0.1996
29.16	-0.31664
29.18	-0.49683
29.2	-0.63643
29.22	-0.82774
29.24	-1.01025
29.26	-1.09225
29.28	-1.16237
29.3	-1.20019
29.32	-1.21161
29.34	-1.08258
29.36	-0.72799
29.38	-0.27921
29.4	0.16072
29.42	0.46876
29.44	0.57686
29.46	0.59375
29.48	0.63579
29.5	0.78385
29.52	0.96604
29.54	1.16372
29.56	1.34743
29.58	1.42077
