t(s)	ag(m/s^2)
9.48	-0.44566
9.5	-0.71236
9.52	-0.59205
9.54	-0.15712
9.56	0.0431
9.58	0.1318
9.6	0.10768
9.62	0.11279
9.64	0.33516
9.66	0.40443
9.68	0.36432
9.7	0.35509
9.72	0.34837
9.74	0.2465
9.76	0.21885
9.78	0.08574
9.8	-0.13671
9.82	-0.54938
9.84	-0.66177
9.86	-0.49926
9.88	0.05577
9.9	0.35219
9.92	0.49013
9.94	0.2853
9.96	-0.19969
9.98	-0.36568
10	-0.32521
10.02	-0.38122
10.04	-0.54005
10.06	-0.55392
10.08	-0.55679
10.1	-0.28479
10.12	-0.0436
10.14	-0.14677
10.16	0.02354
10.18	0.26138
10.2	0.3391
10.22	0.48745
10.24	0.52637
10.26	0.13057
10.28	-0.03388
10.3	-0.07421
10.32	-0.24316
10.34	-0.16988
10.36	0.03092
10.38	0.10238
10.4	0.15032
10.42	0.6284
10.44	0.79298
10.46	0.26253
10.48	-0.10095
10.5	-0.12557
10.52	-0.24521
10.54	-0.55853
10.56	-0.84412
10.58	-1.05982
10.6	-1.12144
10.62	-0.89602
10.64	-0.24816
10.66	0.26888
10.68	0.38936
10.7	0.60112
10.72	0.8146
10.74	0.89692
10.76	1.09727
10.78	1.12232
10.8	0.71389
10.82	0.10299
10.84	0.09064
10.86	0.37726
10.88	0.2431
10.9	-0.23837
10.92	-0.47892
10.94	-0.09569
10.96	0.2577
10.98	0.377
11	0.47633
11.02	0.10928
11.04	-0.78588
11.06	-1.21128
11.08	-1.05155
11.1	-1.10774
11.12	-1.36847
11.14	-1.09982
11.16	-0.47262
11.18	0.00059
11.2	-0.09346
11.22	-0.52416
11.24	-0.78584
11.26	-0.19156
11.28	0.46055
11.3	0.21893
11.32	-0.01466
11.34	-0.01891
11.36	-0.00172
11.38	-0.12083
11.4	-0.13389
11.42	0.0459
11.44	0.54628
11.46	1.02628
11.48	1.1349
11.5	0.70308
11.52	0.25165
11.54	0.02362
11.56	0.02266
11.58	-0.10614
11.6	-0.29354
11.62	-0.05979
11.64	0.47823
11.66	0.47157
11.68	0.11836
11.7	0.07191
11.72	0.15571
11.74	-0.00038
11.76	-0.03507
11.78	-0.06575
11.8	-0.56706
11.82	-0.81036
11.84	-0.03388
11.86	0.54546
11.88	0.12988
11.9	0.09991
11.92	0.45163
11.94	0.80112
11.96	0.95444
11.98	0.91543
12	0.78585
12.02	0.62449
12.04	0.08961
12.06	-0.69217
12.08	-0.84835
12.1	-0.54885
12.12	-0.20232
12.14	0.25828
12.16	0.47955
12.18	0.3467
12.2	0.1875
12.22	0.10049
12.24	0.17101
12.26	0.48829
12.28	0.65938
12.3	0.45696
12.32	0.23397
12.34	0.19048
12.36	0.13235
12.38	0.12452
12.4	0.11353
12.42	-0.14349
12.44	-0.54322
12.46	-0.62707
12.48	-0.2844
12.5	-0.1535
12.52	-0.27487
12.54	-0.14606
12.56	0.19873
12.58	0.41543
12.6	0.21185
12.62	0.06165
12.64	0.15627
12.66	0.43483
12.68	0.58555
12.7	0.32614
12.72	0.13413
12.74	0.26649
12.76	0.05379
12.78	-0.41526
12.8	-0.50577
12.82	0.10508
12.84	0.60409
12.86	0.68922
12.88	0.74478
12.9	0.67794
12.92	0.37923
12.94	0.01143
12.96	-0.25816
12.98	-0.53324
13	-0.69369
13.02	-0.64893
13.04	-0.39212
13.06	-0.14554
13.08	0.11124
13.1	0.34681
13.12	0.0674
13.14	-0.18235
13.16	0.26038
13.18	0.95401
13.2	1.13205
13.22	0.84248
13.24	0.62108
13.26	0.65024
13.28	0.5197
13.3	0.13346
13.32	-0.15064
13.34	-0.07729
13.36	0.26335
13.38	0.52656
13.4	0.50345
13.42	0.16557
13.44	0.09032
13.46	0.31725
13.48	0.21676
13.5	-0.16194
13.52	-0.4407
13.54	-0.53919
13.56	-0.31855
13.58	-0.01889
13.6	0.07856
13.62	0.20966
13.64	0.31162
13.66	0.24069
13.68	0.02693
13.7	-0.24228
13.72	-0.27858
13.74	-0.05639
13.76	-0.1
13.78	-0.2794
13.8	-0.34736
13.82	-0.45158
13.84	-0.41967
13.86	-0.3895
13.88	-0.44521
13.9	-0.49653
13.92	-0.37581
13.94	-0.20056
13.96	-0.06071
13.98	0.05324
14	-0.01015
14.02	-0.19345
14.04	-0.32996
14.06	-0.34874
14.08	-0.28458
14.1	-0.08475
14.12	0.09281
14.14	0.04146
14.16	-0.08396
14.18	-0.27149
14.2	-0.48721
14.22	-0.44113
14.24	-0.0648
14.26	0.2381
14.28	0.22619
14.3	0.10476
14.32	-0.07208
14.34	-0.04906
14.36	0.04365
14.38	-0.18511
14.4	-0.61418
14.42	-0.81333
14.44	-0.69116
14.46	-0.30398
14.48	-0.0181
14.5	-0.08484
14.52	-0.39734
14.54	-0.58004
14.56	-0.40421
14.58	0.09763
14.6	0.36476
14.62	0.13533
14.64	0.0772
14.66	0.44312
14.68	0.74239
14.7	0.65933
14.72	0.4147
14.74	0.28601
14.76	0.16048
14.78	0.09986
14.8	0.08809
