t (s)	ag (m/s^2)
3.83	0.0000892590
3.84	0.0000242020
3.85	0.0000477470
3.86	-0.0001139800
3.87	-0.0000839400
3.88	0.0000372230
3.89	-0.0001743900
3.9	-0.0000831510
3.91	0.0003167500
3.92	0.0002052400
3.93	-0.0000115270
3.94	0.0000838810
3.95	0.0000591810
3.96	-0.0002159000
3.97	-0.0003219800
3.98	-0.0000239110
3.99	0.0000755720
4	0.0000386100
4.01	0.0002634500
4.02	0.0002499500
4.03	-0.0001768400
4.04	-0.0003008600
4.05	0.0000750190
4.06	0.0000266130
4.07	-0.0002421800
4.08	-0.0000760280
4.09	0.0001999300
4.1	0.0002127100
4.11	-0.0000296950
4.12	-0.0000568030
4.13	0.0000092007
4.14	0.0000046969
4.15	0.0000176600
4.16	-0.0001439500
4.17	-0.0001933400
4.18	-0.0000133100
4.19	0.0001463500
4.2	0.0002068500
4.21	0.0001262000
4.22	-0.0000329010
4.23	-0.0001541500
4.24	-0.0001024600
4.25	-0.0001045300
4.26	-0.0002022900
4.27	0.0001157000
4.28	0.0004770900
4.29	0.0001967200
4.3	-0.0003741300
4.31	-0.0004420500
4.32	0.0000849620
4.33	0.0004582800
4.34	0.0002953700
4.35	-0.0000528640
4.36	-0.0004628300
4.37	-0.0006049900
4.38	0.0000992800
4.39	0.0005733200
4.4	0.0002502400
4.41	0.0001732800
4.42	0.0000393800
4.43	-0.0005750900
4.44	-0.0007426400
4.45	0.0001569700
4.46	0.0009257000
4.47	0.0005479500
4.48	-0.0001244000
4.49	-0.0004927900
4.5	-0.0004429600
4.51	-0.0000845640
4.52	0.0001788100
4.53	0.0002540200
4.54	0.0001996200
4.55	0.0000240070
4.56	-0.0002310900
4.57	-0.0002746700
4.58	-0.0000427480
4.59	0.0003170100
4.6	0.0002558600
4.61	-0.0002220600
4.62	-0.0001544300
4.63	-0.0000023688
4.64	-0.0001536000
4.65	-0.0000335230
4.66	0.0000577010
4.67	0.0002052600
4.68	0.0003687100
4.69	-0.0000554120
4.7	-0.0004109400
4.71	-0.0002354200
4.72	0.0001388300
4.73	0.0003850000
4.74	0.0001082900
4.75	-0.0001943800
4.76	-0.0001723200
4.77	-0.0000637920
4.78	0.0000872240
4.79	0.0000365430
4.8	-0.0000429350
4.81	0.0000665000
4.82	0.0001473700
4.83	0.0000060472
4.84	-0.0002720500
4.85	-0.0001645300
4.86	0.0001384000
4.87	0.0001953200
4.88	0.0001981300
4.89	0.0000161010
4.9	-0.0001830900
4.91	-0.0001922900
4.92	-0.0001748800
4.93	0.0001394600
4.94	0.0003036500
4.95	0.0000704730
4.96	-0.0000567150
4.97	-0.0000698240
4.98	-0.0000157520
4.99	-0.0000513030
5	0.0000061159
5.01	0.0000767240
5.02	0.0000080036
5.03	0.0000951730
5.04	0.0000990210
5.05	0.0000648290
5.06	-0.0001213700
5.07	-0.0003640100
5.08	-0.0000931690
5.09	0.0000982920
5.1	0.0000643220
5.11	0.0002406900
5.12	0.0002024100
5.13	-0.0000981890
5.14	-0.0003976600
5.15	-0.0001792400
5.16	0.0003545300
5.17	0.0001177600
5.18	-0.0002019900
5.19	-0.0000257350
5.2	0.0002010400
5.21	0.0000921460
5.22	-0.0002179900
5.23	-0.0000475850
5.24	0.0001006600
5.25	0.0000245700
5.26	-0.0000718800
5.27	-0.0001229000
5.28	-0.0000340240
5.29	-0.0000913450
5.3	0.0001851700
5.31	0.0004188200
5.32	-0.0000644890
5.33	-0.0003618300
5.34	-0.0001536400
5.35	0.0000472620
5.36	0.0000073339
5.37	-0.0000037709
5.38	0.0001784800
5.39	0.0001149400
5.4	-0.0000200530
5.41	-0.0000465380
5.42	-0.0001087400
5.43	-0.0001074600
5.44	-0.0000884250
5.45	0.0000630360
5.46	0.0001902600
5.47	0.0000051373
5.48	-0.0001823600
5.49	0.0000079689
5.5	0.0000750140
5.51	-0.0001099400
5.52	-0.0000462200
5.53	0.0000302580
5.54	0.0001946500
5.55	0.0001885100
5.56	-0.0003129600
5.57	-0.0003141500
5.58	0.0000695410
5.59	0.0000339260
5.6	0.0001506300
5.61	0.0001839300
5.62	-0.0001204100
5.63	0.0000158980
5.64	0.0001569600
5.65	0.0000088431
5.66	-0.0001958600
5.67	-0.0002088000
5.68	0.0001425600
5.69	0.0002318700
5.7	-0.0000071818
5.71	-0.0001391900
5.72	0.0000144790
5.73	0.0000988870
5.74	-0.0000836030
5.75	-0.0001027800
5.76	-0.0000423040
5.77	-0.0000436630
5.78	0.0000882670
5.79	0.0001560000
5.8	-0.0000214550
5.81	-0.0000842740
5.82	0.0000488660
5.83	-0.0000145610
5.84	-0.0001009800
5.85	-0.0000344480
5.86	-0.0000514620
5.87	-0.0000235020
5.88	0.0000372280
5.89	0.0000680340
5.9	0.0000956710
5.91	-0.0000105830
5.92	-0.0001453000
5.93	-0.0000501030
5.94	0.0000747660
5.95	-0.0001105800
5.96	-0.0001445000
5.97	0.0001386100
5.98	0.0001962300
5.99	-0.0000519070
6	-0.0001934200
6.01	-0.0000521220
6.02	0.0000368060
6.03	0.0000275190
6.04	0.0000873860
6.05	0.0001167900
6.06	0.0000182020
6.07	-0.0001838800
6.08	-0.0001415000
6.09	-0.0000035820
6.1	0.0000374890
6.11	0.0001781100
6.12	-0.0000246780
6.13	-0.0001995200
6.14	0.0000131830
6.15	0.0001119900
6.16	0.0000826440
6.17	-0.0000785850
6.18	-0.0001156300
6.19	-0.0000112110
6.2	0.0000075526
6.21	0.0000055658
6.22	0.0000103950
6.23	0.0000635080
6.24	0.0000514290
6.25	-0.0001264400
6.26	-0.0001895400
6.27	0.0000651750
6.28	0.0001085500
6.29	-0.0000229610
6.3	0.0000770760
6.31	0.0000980090
6.32	-0.0000233430
6.33	-0.0001020200
6.34	-0.0000630290
6.35	-0.0000023805
6.36	-0.0000527790
6.37	-0.0000724010
6.38	0.0000070316
6.39	0.0001179500
6.4	0.0001567300
6.41	0.0000680170
6.42	-0.0001129600
6.43	-0.0002327100
6.44	-0.0001217900
6.45	0.0000358310
6.46	0.0001197300
6.47	0.0001145700
6.48	0.0000705470
6.49	0.0000243600
6.5	-0.0000899220
6.51	-0.0001045500
6.52	-0.0000814080
6.53	0.0000070598
6.54	0.0001172400
6.55	0.0000879000
6.56	0.0000771330
6.57	-0.0000227730
6.58	-0.0001814700
6.59	-0.0001846800
6.6	0.0000206450
6.61	0.0001533600
6.62	0.0000621510
6.63	0.0000125620
6.64	-0.0000378450
6.65	-0.0000666410
6.66	-0.0000392640
6.67	-0.0000248160
6.68	0.0000488100
6.69	0.0000769680
6.7	-0.0000425810
6.71	-0.0000521720
6.72	0.0000671340
6.73	0.0000675900
6.74	0.0000277730
6.75	-0.0000832560
6.76	-0.0001613000
6.77	-0.0000340510
6.78	0.0000692450
6.79	0.0000057062
6.8	-0.0000407870
6.81	0.0001160100
6.82	0.0001387200
6.83	-0.0001034200
6.84	-0.0001918400
6.85	-0.0001029100
6.86	-0.0000022222
6.87	0.0000673390
6.88	0.0001076600
6.89	0.0001173900
6.9	-0.0000423350
6.91	-0.0001625700
6.92	-0.0000623980
6.93	0.0000075627
6.94	0.0000674420
6.95	0.0000876660
